,entity_type,n_document,n_sentence,n_token,n_MISC,n_ALL,F1_mean,F1_std
705,RegulatoryAgency108353406,16,1546,49017,1711,1711,0.7247600000000001,0.11944532807941884
706,Defamation106719579,26,2597,78465,2778,2778,0.5387000000000001,0.10209669926104371
707,OilRefinery103844673,2,180,4442,187,187,0.64604,0.05262419975638583
708,Fluorescein114987695,3,250,5792,318,318,0.6099,0.12298159211849553
709,HiredHand110176679,9,884,23990,1018,1018,0.66986,0.0981582721934326
710,Plantation113252513,10,937,22943,1064,1064,0.66632,0.03702007023224024
711,Infection113498404,6,539,9508,643,643,0.86188,0.03289367112378914
712,Antibody115027189,10,904,20494,1222,1222,0.74234,0.0582163757030614
713,NervousTissue105296775,13,1202,26143,1479,1479,0.6854,0.05950159661723372
714,HandTool103489162,6,544,14059,617,617,0.41468,0.11066962365527407
715,Hog102395406,3,294,7684,326,326,0.53144,0.10775465836797961
716,Addition102679415,8,791,19452,879,879,0.3017,0.12692383542896896
717,Convict109963159,7,663,18406,686,686,0.4767799999999999,0.1983946410566576
718,Royalty108153437,39,3896,117907,4312,4312,0.6545399999999999,0.08667104706878762
719,Costumier109968259,15,1492,36255,1652,1652,0.6787199999999999,0.06890902408248138
720,Matrix108267640,13,1299,31436,1717,1717,0.6207800000000001,0.05641401953415481
721,Foreman110104209,23,2246,64102,2795,2795,0.7481599999999999,0.05934093359562184
722,Jet103595860,40,3992,99929,5149,5149,0.8438399999999999,0.03714784515957822
723,Carpenter109896685,9,836,23420,839,839,0.53438,0.25277839622879167
724,Glider103439814,5,427,8782,566,566,0.6772400000000001,0.07119703926428403
725,Protozoan101389507,3,277,6375,361,361,0.59214,0.09121088970073694
726,Autograph106407094,2,153,5042,210,210,0.8113999999999999,0.09148558356375062
727,MilitaryAcademy108279524,31,3043,85214,3387,3387,0.8366399999999998,0.03802034192376499
728,Autocracy108361001,31,3054,83647,3218,3218,0.58102,0.08808728398582852
729,Judiciary108166187,7,685,18796,703,703,0.54064,0.06490009553151674
730,Alchemist109781921,22,2153,68600,2500,2500,0.6874,0.10899080695177917
731,Set107999699,7,628,17665,679,679,0.6104,0.13273493888196886
732,Builder115097209,3,294,6533,310,310,0.4808,0.1258580946939846
733,InorganicCompound114919511,5,414,10064,434,434,0.5159,0.16471346028785866
734,Alloy114586769,18,1754,48358,2150,2150,0.65508,0.10749127220383986
735,DiagnosticTest105739043,5,412,9857,478,478,0.43498000000000003,0.042538848127329436
736,Formula106731802,24,2310,60491,2846,2846,0.8120799999999999,0.08034753014250035
737,MalevolentProgram106573020,6,523,14053,621,621,0.69184,0.09357323548964201
738,Minesweeper103769100,5,450,8686,479,479,0.80374,0.048219357108945364
