,entity_type,n_document,n_sentence,n_token,n_entity,F1_mean,F1_std,FN_mean,FP_mean,TP_mean,P_mean,R_mean
1200,Division108219330,5,479,9521,541,0.9130600000000001,0.023261177958134458,11.0,7.6,97.2,0.9281,0.8992999999999999
1201,Cowboy109972661,8,722,19192,793,0.6159,0.23011554488995306,73.6,9.8,85.0,0.90382,0.52462
1202,Utterance107109847,16,1593,47818,1692,0.51142,0.1786870605276163,208.6,18.0,129.8,0.8636600000000001,0.38694000000000006
1203,Connection103091374,19,1859,49630,2694,0.6838399999999999,0.04778152781148797,214.0,81.6,324.8,0.79728,0.60104
1204,Booker109865954,12,1173,35688,1190,0.39563999999999994,0.17120932918506515,171.0,19.0,67.0,0.7504799999999999,0.28146000000000004
1205,Bacteriologist109831411,5,412,10420,444,0.62752,0.0941457040974255,42.0,13.2,46.8,0.78088,0.52614
1206,CompositeMaterial114817783,7,601,14820,653,0.61538,0.230377042258989,64.0,8.6,66.6,0.85104,0.51454
1207,Handicraft103485655,8,753,21418,792,0.58142,0.20341555889361068,85.6,8.2,72.8,0.88216,0.46641999999999995
1208,Ceremony101027379,21,2019,63374,2382,0.7315400000000001,0.06831967798518962,160.4,67.0,316.0,0.82724,0.6641
1209,EdibleFat107672135,5,428,12811,469,0.52224,0.2228820997747464,54.6,7.4,39.2,0.8122199999999999,0.42094000000000004
1210,Suitability104715487,66,6570,180913,7810,0.78766,0.07308087574735268,446.8,149.6,1115.4,0.87984,0.7161
1211,Internist110212231,4,305,7983,316,0.5591600000000001,0.08977355067056222,35.6,7.0,27.6,0.7950200000000001,0.43742000000000003
1212,Campaign100968155,40,3920,121362,4354,0.7298600000000001,0.04803755197759353,317.4,90.6,553.4,0.8609600000000001,0.63676
1213,Priest110471250,15,1437,40363,1961,0.7382,0.04800716613173494,125.0,61.0,267.4,0.81396,0.67874
1214,Impression106590210,12,1102,33305,1216,0.6106,0.0601815586371772,126.8,20.6,116.4,0.8480400000000001,0.4792199999999999
1215,ChiefExecutiveOfficer109916348,3,269,10661,271,0.44698000000000004,0.40429647735294455,33.0,1.0,21.2,0.8333400000000001,0.39568000000000003
1216,ComplexNumber113729428,7,690,17909,747,0.59522,0.08705553170247138,78.8,14.8,70.6,0.8234600000000001,0.47032000000000007
1217,ScienceMuseum104147364,23,2210,59130,2320,0.62788,0.10452166091294185,224.0,48.8,240.0,0.8280799999999999,0.5163
1218,UnionRepresentative110738515,7,676,18399,721,0.5889599999999999,0.16965932453007113,78.2,7.0,66.0,0.88584,0.4573600000000001
1219,Ellipse113878306,7,653,18652,720,0.45716,0.07697307581226048,96.8,11.4,47.2,0.81724,0.32452000000000003
1220,Machine103700963,7,683,18369,732,0.33536,0.08278167913252303,112.4,19.4,34.0,0.62706,0.2311
1221,BacteriaGenus101352574,2,160,2561,168,0.7988200000000001,0.06728599854353057,8.2,4.6,25.4,0.84608,0.76296
1222,Bookshop102871525,4,301,7848,331,0.57664,0.13625159962363745,33.8,12.2,32.4,0.71872,0.49384000000000006
1223,Swamp109452395,6,531,13877,559,0.5665,0.09661865244351114,63.0,9.2,48.8,0.85476,0.43674
1224,ElectricGuitar103272010,17,1700,41940,2154,0.77078,0.08854723936972851,134.4,39.6,296.4,0.8803000000000001,0.69164
1225,ChangeOfLocation107311115,8,737,20653,843,0.62842,0.08422242931666124,84.4,12.4,84.2,0.86832,0.49754000000000004
1226,Cancer114239918,5,409,9813,473,0.60076,0.18880992134948843,47.6,10.0,47.0,0.79726,0.4997
1227,Fashion105750657,11,1042,30316,1074,0.27396000000000004,0.17874918293519554,175.0,11.0,40.0,0.80594,0.18642
1228,Duck101846331,10,934,17430,1226,0.8852800000000001,0.03660346431691949,39.6,13.4,205.6,0.93926,0.8392799999999999
1229,Velodrome104524833,5,433,11445,456,0.71484,0.1712533164642367,34.2,6.6,57.0,0.8934,0.6258199999999999
1230,StatutoryOffense100774796,8,740,22562,773,0.59344,0.10820235856948775,82.8,13.4,71.8,0.83294,0.46534000000000003
1231,Semiconductor114821248,8,742,18991,917,0.5216999999999999,0.06016749953255497,111.4,19.8,72.0,0.7823800000000001,0.39288
1232,Compartment103080309,19,1890,51908,2300,0.539,0.09394883714022222,261.2,67.0,198.8,0.7447800000000001,0.4276000000000001
1233,Pathology114204950,4,354,5770,391,0.63384,0.08470257611194597,37.4,9.4,40.8,0.81152,0.52096
1234,Dicynodont101721174,2,155,2080,192,0.82646,0.08066207535143144,5.8,7.2,32.6,0.8140599999999999,0.84032
