,entity_type,n_sentence,F1_Stanford,Neuro_n_epochs,Neuro_duration,Neuro_F1_on_train_set,Neuro_F1_on_valid_set
171,Blacksmith109859152,295,0.21186,19,173,81.84,50.85
172,Pyramid113914837,295,0.6564,12,114,72.24,64.52
173,Cooperation101202904,296,0.6265799999999999,33,307,91.53,75.0
174,Decree106539770,296,0.50234,15,152,75.96,66.1
175,Collaboration101205156,296,0.6265799999999999,10,97,75.0,62.3
176,Bookshop102871525,301,0.5766399999999999,18,168,77.34,33.9
177,Antineoplastic102722458,301,0.5065,34,316,84.15,55.94
178,Conclusion106398401,301,0.48184,19,194,76.28,66.14
179,Finale107039478,301,0.48184,40,399,85.83,69.17
180,Rugby100470966,302,0.7832800000000001,20,214,80.98,63.41
181,Miniaturist110320106,302,0.7379600000000001,24,226,92.75,80.92
182,ArmoredDinosaur101701551,302,0.82868,28,266,88.62,78.65
183,MilitaryMarch107058468,305,0.45708,31,304,92.58,65.42
184,Internist110212231,305,0.5591600000000001,23,216,87.66,70.8
185,Drawbridge103233744,306,0.7897799999999999,17,164,83.45,84.89
186,Season115236475,309,0.37918,16,149,72.76,33.33
187,Pier103933529,309,0.68308,25,227,88.36,71.33
188,ChamberOfCommerce108319061,311,0.69858,21,207,83.56,65.65
189,Transvestite110726031,311,0.5828,29,277,96.12,72.87
190,OilTanker103845190,313,0.5062599999999999,21,197,80.0,36.09
191,Silversmith110598749,314,0.4807200000000001,26,248,90.45,70.07
192,Slab104233405,315,0.6965999999999999,18,181,84.63,65.12
193,Tablet104381302,315,0.6965999999999999,14,142,82.09,66.09
194,Meteorite109352849,315,0.5567200000000001,15,132,76.99,53.7
195,Piperazine103946814,315,0.68408,17,144,76.01,60.81
196,VolcanicEruption107436475,317,0.42163999999999996,10,93,76.89,32.35
197,ReligiousSchool108284054,317,0.7057,26,239,90.41,49.54
198,Volition105652593,318,0.39594,16,164,67.03,46.15
199,Gecko101674990,320,0.7728200000000001,43,407,95.1,93.38
200,Sheet106255777,321,0.5991799999999999,22,199,76.53,79.41
201,Cookbook106413020,324,0.6271399999999999,9,93,76.13,84.21
202,Circus108189211,326,0.69194,7,73,62.09,95.45
203,Arbiter109804053,330,0.5859800000000001,22,215,90.16,65.22
204,Protist101387451,330,0.6227400000000001,23,220,82.26,75.5
205,Extent105123416,330,0.4259799999999999,29,290,88.1,52.63
206,Extension115272382,331,0.40121999999999997,13,132,62.86,41.07
207,Barn102793495,331,0.7686599999999999,25,225,86.18,78.21
208,Workstation104603399,331,0.5706399999999999,16,157,76.84,58.82
209,BinaryCompound114618834,331,0.5349999999999999,27,258,86.08,57.14
210,Delay115272029,332,0.4065600000000001,20,200,72.36,49.12
211,Aldehyde114584765,333,0.67438,23,217,84.28,51.81
212,Gas114877585,333,0.5643600000000001,24,243,79.8,48.21
213,Anesthetic102710766,333,0.51058,19,178,81.66,35.71
214,Lieutenancy100594580,334,0.91118,21,182,97.53,92.96
215,Hadrosaur101705934,334,0.8429,52,512,93.58,80.57
216,Aniline114754505,335,0.6189399999999999,46,416,88.26,55.9
217,AromaticHydrocarbon114767996,335,0.68338,34,343,86.14,72.73
218,Acme113940456,339,0.6797,16,168,82.96,64.63
219,Degree113939892,339,0.6797,25,258,86.55,69.51
220,Vaccine104517535,341,0.6140399999999999,30,289,82.67,62.75
221,Marsh109347779,344,0.5753,19,198,87.65,50.0
222,HoldingDevice103525827,345,0.63146,15,161,78.56,72.86
