,entity_type,N_fold0,N_fold1,N_fold2,N_fold3,N_fold4,N_avg,N_std
82,Bryozoan102313709,0.7965000000000001,0.7059000000000001,0.8167,0.813,0.8138,0.7891800000000001,0.04223749045575502
83,Seismologist110576513,0.7170000000000001,0.7925,0.7579,0.82,0.8623999999999999,0.78996,0.05001482180314147
84,Position105079866,0.6553,0.7805,0.8443999999999999,0.6755,0.6354,0.71822,0.08055217936219974
85,Refinery104068441,0.6517000000000001,0.6494,0.6175999999999999,0.7765000000000001,0.7012999999999999,0.6792999999999999,0.05548783650494947
86,BodilyProperty104997988,0.6728000000000001,0.809,0.8315,0.6734,0.6163000000000001,0.7206000000000001,0.08426688554823893
87,Naphthalene114958564,0.25,0.6168,0.6078,0.7912,0.55,0.5631600000000001,0.17613324047436363
88,FungusOrder111594676,0.7573000000000001,0.8271,0.8590000000000001,0.8547,0.8125,0.82212,0.036716666515357835
89,Hurdles107469162,0.9167000000000001,0.809,0.8434,0.897,0.8456,0.86234,0.03909074570790381
90,Cookie107635155,0.4167,0.55,0.4583,0.4932,0.35619999999999996,0.45488,0.06591416843137751
91,Commercial107250034,0.0443,0.4337,0.4368,0.5301,0.0,0.28898,0.2210480617422374
92,TrackEvent107468861,0.9103,0.8222,0.8484999999999999,0.85,0.8889,0.8639800000000001,0.03145532705282207
93,CrownJewel113330425,0.7573000000000001,0.6957,0.75,0.7736,0.6667000000000001,0.7286600000000001,0.04054787787295407
94,Acetylene114600742,0.6667000000000001,0.6939,0.7451000000000001,0.6386999999999999,0.6847,0.68582,0.03511845099089655
95,Beer107886849,0.40380000000000005,0.6143,0.6054999999999999,0.47729999999999995,0.5176,0.5236999999999999,0.07932941446903535
96,Brew107886572,0.3721,0.5263,0.5672,0.4938,0.49439999999999995,0.49076000000000003,0.06512887531655988
97,ConsultingFirm108062464,0.6,0.6585,0.7957,0.8571,0.4314,0.6685399999999999,0.15017220248767746
98,Antiviral102725367,0.49570000000000003,0.5133,0.5664,0.49060000000000004,0.44439999999999996,0.50208,0.03940159387639034
99,Vespid102212602,0.9184,0.8931999999999999,0.9129999999999999,0.9109,0.9159,0.9102799999999999,0.008910981988535316
100,Wasp102212062,0.9184,0.8865999999999999,0.9129999999999999,0.8785,0.875,0.8943,0.017955054998523394
101,Bull106726761,0.4267,0.8040999999999999,0.6593000000000001,0.7347,0.7526999999999999,0.6755,0.13279030085062685
